
지점명	지점주소
속초	강원특별자치도 고성군 토성면 봉포리
북춘천	강원특별자치도 춘천시 신북읍 산천리
철원	강원특별자치도 철원군 갈말읍 군탄리
동두천	경기도 동두천시 생연동
파주	경기도 파주시 문산읍 운천리
대관령	(산지)강원특별자치도 평창군 대관령면 횡계리
춘천	강원특별자치도 춘천시 우두동
백령도	인천광역시 옹진군 백령면 진촌리
북강릉	강원특별자치도 강릉시 사천면 방동리
강릉	강원특별자치도 강릉시 용강동
동해	강원특별자치도 동해시 용정동
서울	서울특별시 종로구 송월동
인천	인천광역시 중구 전동
원주	강원특별자치도 원주시 명륜동
울릉도	경상북도 울릉군 울릉읍 도동리
수원	경기도 수원시 권선구 고색동
영월	강원특별자치도 영월군 영월읍 하송리
충주	충청북도 충주시 안림동
서산	충청남도 서산시 수석동
울진	경상북도 울진군 울진읍 연지리
청주	충청북도 청주시 흥덕구 복대동
대전	대전광역시 유성구 구성동
추풍령	충청북도 영동군 추풍령면 관리
안동	경상북도 안동시 운안동
상주	경상북도 상주시 낙양동
포항	경상북도 포항시 남구 송도동
군산	전북특별자치도 군산시 금동
대구	대구광역시 동구 효목동
전주	전북특별자치도 전주시 덕진구 덕진동2가
울산	울산광역시 중구 약사동
창원	경상남도 창원시 마산합포구 가포동
광주	광주광역시 북구 운암동
부산	부산광역시 중구 대청동1가
통영	경상남도 통영시 정량동
목포	전라남도 목포시 연산동
여수	전라남도 여수시 중앙동
흑산도	전라남도 신안군 흑산면 예리
완도	전라남도 완도군 군외면 불목리
고창	전북특별자치도 고창군 대산면 매산리
순천	전라남도 순천시 승주읍 평중리
홍성	충청남도 홍성군 광천읍 월림리
서청주	충청북도 청주시 흥덕구 강내면 학천리
제주	제주특별자치도 제주시 건입동
고산	제주특별자치도 제주시 한경면 고산리
성산	제주특별자치도 서귀포시 성산읍 신산리
서귀포	제주특별자치도 서귀포시 서귀동
진주	경상남도 진주시 평거동
강화	인천광역시 강화군 불은면 삼성리
양평	경기도 양평군 양평읍 양근리
이천	경기도 이천시 부발읍 신하리
인제	강원특별자치도 인제군 인제읍 남북리
홍천	강원특별자치도 홍천군 홍천읍 연봉리
태백	(산지)강원특별자치도 태백시 황지동
정선군	강원특별자치도 정선군 정선읍 애산리
제천	충청북도 제천시 신월동
보은	충청북도 보은군 보은읍 성주리
천안	충청남도 천안시 동남구 병천면 병천리
보령	충청남도 보령시 요암동
부여	충청남도 부여군 부여읍 가탑리
금산	충청남도 금산군 금산읍 아인리
세종	세종특별자치시 새롬동
부안	전북특별자치도 부안군 행안면 역리
임실	전북특별자치도 임실군 임실읍 이도리
정읍	전북특별자치도 정읍시 상평동
남원	전북특별자치도 남원시 도통동
장수	전북특별자치도 장수군 장수읍 선창리
고창군	전북특별자치도 고창군 고창읍 덕산리
영광군	전라남도 영광군 군서면 만곡리
김해시	경상남도 김해시 부원동
순창군	전북특별자치도 순창군 순창읍 교성리
북창원	경상남도 창원시 성산구 내동
양산시	경상남도 양산시 동면 금산리
보성군	전라남도 보성군 득량면 예당리
강진군	전라남도 강진군 강진읍 남포리
장흥	전라남도 장흥군 장흥읍 축내리
해남	전라남도 해남군 해남읍 남천리
고흥	전라남도 고흥군 고흥읍 행정리
의령군	경상남도 의령군 의령읍 무전리
함양군	경상남도 함양군 함양읍 용평리
광양시	전라남도 광양시 중동
진도군	전라남도 진도군 진도읍 남동리
봉화	경상북도 봉화군 춘양면 의양리
영주	경상북도 영주시 풍기읍 성내리
문경	경상북도 문경시 유곡동
청송군	경상북도 청송군 청송읍
영덕	경상북도 영덕군 영해면 성내리
의성	경상북도 의성군 의성읍 원당리
구미	경상북도 구미시 남통동
영천	경상북도 영천시 망정동
경주시	경상북도 경주시 탑동
거창	경상남도 거창군 거창읍 정장리
합천	경상남도 합천군 합천읍 합천리
밀양	경상남도 밀양시 내이동
산청	경상남도 산청군 산청읍
거제	경상남도 거제시 장평동
남해	경상남도 남해군 이동면 다정리
북부산	부산광역시 강서구 대저1동
